work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,cluster
2023,SE,FT,Principal Data Scientist,80000.0,EUR,85847.0,ES,100,ES,L,1
2023,MI,CT,ML Engineer,30000.0,USD,30000.0,US,100,US,S,1
2023,MI,CT,ML Engineer,25500.0,USD,25500.0,US,100,US,S,1
2023,SE,FT,Data Scientist,175000.0,USD,175000.0,CA,100,CA,M,0
2023,SE,FT,Data Scientist,120000.0,USD,120000.0,CA,100,CA,M,0
2023,SE,FT,Applied Scientist,222200.0,USD,222200.0,US,0,US,L,0
2023,SE,FT,Applied Scientist,136000.0,USD,136000.0,US,0,US,L,0
2023,SE,FT,Data Scientist,219000.0,USD,219000.0,CA,0,CA,M,0
2023,SE,FT,Data Scientist,141000.0,USD,141000.0,CA,0,CA,M,0
2023,SE,FT,Data Scientist,147100.0,USD,147100.0,US,0,US,M,0
2023,SE,FT,Data Scientist,90700.0,USD,90700.0,US,0,US,M,0
2023,SE,FT,Data Analyst,130000.0,USD,130000.0,US,100,US,M,0
2023,SE,FT,Data Analyst,100000.0,USD,100000.0,US,100,US,M,0
2023,EN,FT,Applied Scientist,130760.0,USD,130760.0,US,0,US,L,0
2023,SE,FT,Data Modeler,147100.0,USD,147100.0,US,0,US,M,0
2023,SE,FT,Data Modeler,90700.0,USD,90700.0,US,0,US,M,0
2023,SE,FT,Data Scientist,170000.0,USD,170000.0,US,0,US,M,0
2023,SE,FT,Data Scientist,150000.0,USD,150000.0,US,0,US,M,0
2023,MI,FT,Data Analyst,150000.0,USD,150000.0,US,100,US,M,0
2023,MI,FT,Data Analyst,110000.0,USD,110000.0,US,100,US,M,0
2023,SE,FT,Research Engineer,275000.0,USD,275000.0,DE,0,DE,M,0
2023,SE,FT,Research Engineer,174000.0,USD,174000.0,DE,0,DE,M,0
2023,SE,FT,Analytics Engineer,230000.0,USD,230000.0,GB,100,GB,M,0
2023,SE,FT,Analytics Engineer,143200.0,USD,143200.0,GB,100,GB,M,0
2023,SE,FT,Business Intelligence Engineer,225000.0,USD,225000.0,US,0,US,M,0
2023,SE,FT,Business Intelligence Engineer,156400.0,USD,156400.0,US,0,US,M,0
2023,SE,FT,Machine Learning Engineer,200000.0,USD,200000.0,US,0,US,M,0
2023,SE,FT,Machine Learning Engineer,130000.0,USD,130000.0,US,0,US,M,0
2023,SE,FT,Data Strategist,90000.0,USD,90000.0,CA,0,CA,M,0
2023,SE,FT,Data Strategist,72000.0,USD,72000.0,CA,0,CA,M,0
2023,SE,FT,Data Engineer,253200.0,USD,253200.0,US,0,US,M,0
2023,SE,FT,Data Engineer,90700.0,USD,90700.0,US,0,US,M,0
2023,SE,FT,Computer Vision Engineer,342810.0,USD,342810.0,US,0,US,M,0
2023,SE,FT,Computer Vision Engineer,184590.0,USD,184590.0,US,0,US,M,0
2023,MI,FT,Data Engineer,162500.0,USD,162500.0,US,0,US,M,0
2023,MI,FT,Data Engineer,130000.0,USD,130000.0,US,0,US,M,0
2023,MI,FT,Data Analyst,64500.0,USD,64500.0,US,0,US,M,0
2023,EN,FT,Data Quality Analyst,100000.0,USD,100000.0,NG,100,NG,L,1
2023,EN,FT,Compliance Data Analyst,30000.0,USD,30000.0,NG,100,NG,L,1
2022,MI,FT,Machine Learning Engineer,1650000.0,INR,20984.0,IN,50,IN,L,1
2023,EN,FT,Applied Scientist,204620.0,USD,204620.0,US,0,US,L,0
2023,EN,FT,Applied Scientist,110680.0,USD,110680.0,US,0,US,L,0
2023,SE,FT,Data Engineer,270703.0,USD,270703.0,US,0,US,M,0
2023,SE,FT,Data Engineer,221484.0,USD,221484.0,US,0,US,M,0
2023,SE,FT,Data Scientist,212750.0,USD,212750.0,US,100,US,M,0
2023,SE,FT,Data Scientist,185000.0,USD,185000.0,US,100,US,M,0
2023,SE,FT,Data Scientist,262000.0,USD,262000.0,US,100,US,M,0
2023,SE,FT,Data Scientist,245000.0,USD,245000.0,US,100,US,M,0
2023,SE,FT,Data Scientist,275300.0,USD,275300.0,US,100,US,M,0
2023,SE,FT,Data Scientist,183500.0,USD,183500.0,US,100,US,M,0
2023,SE,FT,Data Scientist,218500.0,USD,218500.0,US,100,US,M,0
2023,SE,FT,Data Scientist,199098.0,USD,199098.0,US,100,US,M,0
2023,SE,FT,Data Engineer,203300.0,USD,203300.0,US,100,US,M,0
2023,SE,FT,Data Engineer,123600.0,USD,123600.0,US,100,US,M,0
2023,SE,FT,Research Engineer,189110.0,USD,189110.0,US,0,US,M,0
2023,SE,FT,Research Engineer,139000.0,USD,139000.0,US,0,US,M,0
2023,EX,FT,Data Scientist,258750.0,USD,258750.0,US,0,US,M,0
2023,EX,FT,Data Scientist,185000.0,USD,185000.0,US,0,US,M,0
2023,SE,FT,Data Engineer,231500.0,USD,231500.0,US,100,US,M,0
2023,SE,FT,Data Engineer,166000.0,USD,166000.0,US,100,US,M,0
2023,SE,FT,Data Scientist,172500.0,USD,172500.0,US,100,US,M,0
2023,SE,FT,Data Scientist,110500.0,USD,110500.0,US,100,US,M,0
2023,SE,FT,Data Engineer,238000.0,USD,238000.0,US,0,US,M,0
